----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 11501
1482000 1676
1378000 1771
1274000 2055
1170000 3593
1066000 2979
962000 4925
858000 7244
754000 8517
650000 10838
546000 12143
442000 21300
338000 29416
--------------------------------------
cpu 1 state 0
1586000 11501
1482000 1676
1378000 1771
1274000 2055
1170000 3593
1066000 2979
962000 4925
858000 7244
754000 8517
650000 10838
546000 12143
442000 21302
338000 29419
--------------------------------------
cpu 2 state 0
1586000 11501
1482000 1676
1378000 1771
1274000 2055
1170000 3593
1066000 2979
962000 4925
858000 7244
754000 8517
650000 10838
546000 12143
442000 21305
338000 29419
--------------------------------------
cpu 3 state 0
1586000 11501
1482000 1676
1378000 1771
1274000 2055
1170000 3593
1066000 2979
962000 4925
858000 7244
754000 8517
650000 10838
546000 12143
442000 21308
338000 29419
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 13428
2184000 676
2080000 4848
1976000 1881
1872000 807
1768000 2618
1664000 1302
1560000 2157
1456000 932
1352000 2921
1248000 3801
1144000 1557
1040000 3394
936000 3811
832000 6907
728000 6812
624000 7736
520000 52385
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 13428
2184000 676
2080000 4848
1976000 1881
1872000 807
1768000 2618
1664000 1302
1560000 2157
1456000 932
1352000 2921
1248000 3801
1144000 1557
1040000 3394
936000 3811
832000 6907
728000 6812
624000 7736
520000 52390
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 13428
2184000 676
2080000 4848
1976000 1881
1872000 807
1768000 2618
1664000 1302
1560000 2157
1456000 932
1352000 2921
1248000 3801
1144000 1557
1040000 3394
936000 3811
832000 6907
728000 6812
624000 7736
520000 52394
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 13428
2184000 676
2080000 4848
1976000 1881
1872000 807
1768000 2618
1664000 1302
1560000 2157
1456000 932
1352000 2921
1248000 3801
1144000 1557
1040000 3394
936000 3811
832000 6907
728000 6812
624000 7736
520000 52398
--------------------------------------
------------ FREQ TIME --------------------------
