----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 12275
1482000 1865
1378000 1971
1274000 2317
1170000 3985
1066000 3463
962000 5825
858000 8604
754000 10108
650000 12932
546000 13776
442000 22436
338000 30147
--------------------------------------
cpu 1 state 0
1586000 12275
1482000 1865
1378000 1971
1274000 2317
1170000 3985
1066000 3463
962000 5825
858000 8607
754000 10108
650000 12932
546000 13776
442000 22436
338000 30147
--------------------------------------
cpu 2 state 0
1586000 12275
1482000 1865
1378000 1971
1274000 2317
1170000 3985
1066000 3463
962000 5825
858000 8609
754000 10108
650000 12932
546000 13776
442000 22436
338000 30147
--------------------------------------
cpu 3 state 0
1586000 12275
1482000 1865
1378000 1971
1274000 2317
1170000 3985
1066000 3463
962000 5825
858000 8613
754000 10108
650000 12932
546000 13776
442000 22436
338000 30147
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 15060
2184000 748
2080000 4979
1976000 2091
1872000 949
1768000 2910
1664000 1508
1560000 2489
1456000 1135
1352000 3223
1248000 4333
1144000 1928
1040000 3949
936000 4466
832000 8026
728000 8102
624000 9056
520000 54762
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 15060
2184000 748
2080000 4979
1976000 2091
1872000 949
1768000 2910
1664000 1508
1560000 2489
1456000 1135
1352000 3223
1248000 4333
1144000 1928
1040000 3949
936000 4466
832000 8028
728000 8102
624000 9056
520000 54762
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 15060
2184000 748
2080000 4979
1976000 2091
1872000 949
1768000 2910
1664000 1508
1560000 2489
1456000 1135
1352000 3223
1248000 4333
1144000 1928
1040000 3949
936000 4469
832000 8028
728000 8102
624000 9056
520000 54762
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 15060
2184000 748
2080000 4979
1976000 2091
1872000 949
1768000 2910
1664000 1508
1560000 2489
1456000 1135
1352000 3223
1248000 4333
1144000 1928
1040000 3949
936000 4471
832000 8028
728000 8102
624000 9056
520000 54762
--------------------------------------
------------ FREQ TIME --------------------------
