----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 4108
1482000 30
1378000 31
1274000 50
1170000 81
1066000 55
962000 70
858000 102
754000 71
650000 70
546000 90
442000 201
338000 177
--------------------------------------
cpu 1 state 0
1586000 4108
1482000 30
1378000 31
1274000 50
1170000 81
1066000 55
962000 70
858000 102
754000 71
650000 71
546000 90
442000 204
338000 177
--------------------------------------
cpu 2 state 0
1586000 4108
1482000 30
1378000 31
1274000 50
1170000 81
1066000 55
962000 70
858000 102
754000 71
650000 75
546000 90
442000 204
338000 177
--------------------------------------
cpu 3 state 0
1586000 4108
1482000 30
1378000 31
1274000 50
1170000 81
1066000 55
962000 70
858000 102
754000 71
650000 78
546000 90
442000 204
338000 177
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 95
2184000 30
2080000 4032
1976000 20
1872000 0
1768000 21
1664000 20
1560000 10
1456000 0
1352000 40
1248000 51
1144000 20
1040000 41
936000 40
832000 82
728000 150
624000 102
520000 396
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 95
2184000 30
2080000 4032
1976000 20
1872000 0
1768000 21
1664000 20
1560000 10
1456000 0
1352000 40
1248000 51
1144000 20
1040000 41
936000 40
832000 82
728000 150
624000 102
520000 402
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 95
2184000 30
2080000 4032
1976000 20
1872000 0
1768000 21
1664000 20
1560000 10
1456000 0
1352000 40
1248000 51
1144000 20
1040000 41
936000 40
832000 82
728000 150
624000 102
520000 407
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 95
2184000 30
2080000 4032
1976000 20
1872000 0
1768000 21
1664000 20
1560000 10
1456000 0
1352000 40
1248000 51
1144000 20
1040000 41
936000 40
832000 82
728000 150
624000 102
520000 410
--------------------------------------
------------ FREQ TIME --------------------------
