----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 5681
1482000 382
1378000 301
1274000 359
1170000 670
1066000 368
962000 514
858000 785
754000 792
650000 1205
546000 1406
442000 2734
338000 2978
--------------------------------------
cpu 1 state 0
1586000 5681
1482000 382
1378000 301
1274000 359
1170000 670
1066000 370
962000 514
858000 785
754000 792
650000 1205
546000 1406
442000 2734
338000 2979
--------------------------------------
cpu 2 state 0
1586000 5681
1482000 382
1378000 301
1274000 359
1170000 670
1066000 370
962000 514
858000 785
754000 792
650000 1205
546000 1406
442000 2734
338000 2981
--------------------------------------
cpu 3 state 0
1586000 5681
1482000 382
1378000 301
1274000 359
1170000 670
1066000 370
962000 514
858000 785
754000 792
650000 1205
546000 1406
442000 2734
338000 2984
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 3328
2184000 171
2080000 4173
1976000 341
1872000 182
1768000 633
1664000 277
1560000 344
1456000 103
1352000 487
1248000 868
1144000 237
1040000 451
936000 459
832000 1173
728000 687
624000 585
520000 3685
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 3328
2184000 171
2080000 4173
1976000 341
1872000 182
1768000 633
1664000 277
1560000 344
1456000 103
1352000 487
1248000 868
1144000 243
1040000 451
936000 459
832000 1173
728000 687
624000 585
520000 3685
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 3328
2184000 171
2080000 4173
1976000 341
1872000 182
1768000 633
1664000 277
1560000 344
1456000 103
1352000 487
1248000 868
1144000 245
1040000 451
936000 459
832000 1173
728000 687
624000 585
520000 3685
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 3328
2184000 171
2080000 4173
1976000 341
1872000 182
1768000 633
1664000 277
1560000 344
1456000 103
1352000 487
1248000 868
1144000 245
1040000 455
936000 459
832000 1173
728000 687
624000 585
520000 3685
--------------------------------------
------------ FREQ TIME --------------------------
