----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 7478
1482000 676
1378000 755
1274000 793
1170000 1114
1066000 913
962000 1247
858000 1680
754000 1665
650000 2346
546000 2742
442000 5748
338000 8503
--------------------------------------
cpu 1 state 0
1586000 7478
1482000 676
1378000 755
1274000 793
1170000 1114
1066000 913
962000 1247
858000 1680
754000 1665
650000 2346
546000 2742
442000 5748
338000 8506
--------------------------------------
cpu 2 state 0
1586000 7478
1482000 676
1378000 755
1274000 793
1170000 1114
1066000 913
962000 1247
858000 1680
754000 1665
650000 2346
546000 2742
442000 5753
338000 8508
--------------------------------------
cpu 3 state 0
1586000 7478
1482000 676
1378000 755
1274000 793
1170000 1114
1066000 913
962000 1247
858000 1680
754000 1665
650000 2347
546000 2742
442000 5758
338000 8508
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 6027
2184000 323
2080000 4395
1976000 667
1872000 315
1768000 972
1664000 471
1560000 795
1456000 206
1352000 967
1248000 1410
1144000 567
1040000 1001
936000 947
832000 2262
728000 1527
624000 1490
520000 11338
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 6027
2184000 323
2080000 4395
1976000 667
1872000 315
1768000 972
1664000 471
1560000 795
1456000 206
1352000 967
1248000 1410
1144000 567
1040000 1001
936000 947
832000 2262
728000 1527
624000 1491
520000 11340
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 6027
2184000 323
2080000 4395
1976000 667
1872000 315
1768000 972
1664000 471
1560000 795
1456000 206
1352000 967
1248000 1410
1144000 567
1040000 1001
936000 947
832000 2262
728000 1527
624000 1494
520000 11340
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 6027
2184000 323
2080000 4395
1976000 667
1872000 315
1768000 972
1664000 471
1560000 795
1456000 206
1352000 967
1248000 1410
1144000 567
1040000 1001
936000 947
832000 2262
728000 1527
624000 1500
520000 11341
--------------------------------------
------------ FREQ TIME --------------------------
