----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 8561
1482000 857
1378000 913
1274000 1023
1170000 1650
1066000 1285
962000 1798
858000 2484
754000 2557
650000 3409
546000 3826
442000 8735
338000 16989
--------------------------------------
cpu 1 state 0
1586000 8561
1482000 857
1378000 913
1274000 1023
1170000 1650
1066000 1285
962000 1798
858000 2484
754000 2557
650000 3409
546000 3826
442000 8736
338000 16993
--------------------------------------
cpu 2 state 0
1586000 8561
1482000 857
1378000 913
1274000 1023
1170000 1650
1066000 1285
962000 1798
858000 2484
754000 2557
650000 3409
546000 3826
442000 8741
338000 16993
--------------------------------------
cpu 3 state 0
1586000 8561
1482000 857
1378000 913
1274000 1023
1170000 1650
1066000 1285
962000 1798
858000 2484
754000 2557
650000 3409
546000 3826
442000 8745
338000 16993
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 7678
2184000 405
2080000 4466
1976000 872
1872000 415
1768000 1269
1664000 635
1560000 1102
1456000 340
1352000 1308
1248000 1768
1144000 729
1040000 1442
936000 1392
832000 3067
728000 2462
624000 2648
520000 22105
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 7678
2184000 405
2080000 4466
1976000 872
1872000 415
1768000 1269
1664000 635
1560000 1102
1456000 340
1352000 1308
1248000 1768
1144000 729
1040000 1442
936000 1392
832000 3067
728000 2462
624000 2648
520000 22111
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 7678
2184000 405
2080000 4466
1976000 872
1872000 415
1768000 1269
1664000 635
1560000 1102
1456000 340
1352000 1308
1248000 1768
1144000 729
1040000 1442
936000 1392
832000 3067
728000 2464
624000 2648
520000 22112
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 7678
2184000 405
2080000 4466
1976000 872
1872000 415
1768000 1269
1664000 635
1560000 1102
1456000 340
1352000 1308
1248000 1768
1144000 729
1040000 1442
936000 1392
832000 3067
728000 2466
624000 2648
520000 22112
--------------------------------------
------------ FREQ TIME --------------------------
