----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 9644
1482000 1138
1378000 1116
1274000 1424
1170000 2345
1066000 1716
962000 2410
858000 3434
754000 3738
650000 5273
546000 5809
442000 13078
338000 23749
--------------------------------------
cpu 1 state 0
1586000 9646
1482000 1138
1378000 1116
1274000 1424
1170000 2345
1066000 1716
962000 2410
858000 3434
754000 3738
650000 5273
546000 5809
442000 13078
338000 23749
--------------------------------------
cpu 2 state 0
1586000 9648
1482000 1138
1378000 1116
1274000 1424
1170000 2345
1066000 1716
962000 2410
858000 3434
754000 3738
650000 5273
546000 5809
442000 13078
338000 23749
--------------------------------------
cpu 3 state 0
1586000 9650
1482000 1138
1378000 1116
1274000 1424
1170000 2345
1066000 1716
962000 2410
858000 3434
754000 3738
650000 5273
546000 5809
442000 13078
338000 23749
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 9487
2184000 486
2080000 4577
1976000 1148
1872000 478
1768000 1666
1664000 837
1560000 1426
1456000 462
1352000 1804
1248000 2396
1144000 820
1040000 1903
936000 1944
832000 4083
728000 3495
624000 3804
520000 34065
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 9487
2184000 486
2080000 4577
1976000 1148
1872000 478
1768000 1666
1664000 837
1560000 1426
1456000 462
1352000 1804
1248000 2396
1144000 820
1040000 1903
936000 1944
832000 4083
728000 3495
624000 3804
520000 34068
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 9487
2184000 486
2080000 4577
1976000 1148
1872000 478
1768000 1666
1664000 837
1560000 1426
1456000 462
1352000 1804
1248000 2396
1144000 820
1040000 1903
936000 1944
832000 4083
728000 3495
624000 3804
520000 34071
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 9487
2184000 486
2080000 4577
1976000 1148
1872000 478
1768000 1666
1664000 837
1560000 1426
1456000 462
1352000 1804
1248000 2396
1144000 820
1040000 1903
936000 1944
832000 4083
728000 3495
624000 3804
520000 34073
--------------------------------------
------------ FREQ TIME --------------------------
