----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 10047
1482000 1228
1378000 1227
1274000 1565
1170000 2627
1066000 1868
962000 2789
858000 4179
754000 4708
650000 6809
546000 8382
442000 17341
338000 26470
--------------------------------------
cpu 1 state 0
1586000 10047
1482000 1228
1378000 1227
1274000 1565
1170000 2627
1066000 1868
962000 2789
858000 4179
754000 4708
650000 6809
546000 8387
442000 17341
338000 26470
--------------------------------------
cpu 2 state 0
1586000 10047
1482000 1228
1378000 1227
1274000 1565
1170000 2627
1066000 1868
962000 2789
858000 4179
754000 4708
650000 6809
546000 8391
442000 17341
338000 26470
--------------------------------------
cpu 3 state 0
1586000 10047
1482000 1228
1378000 1227
1274000 1565
1170000 2627
1066000 1868
962000 2789
858000 4179
754000 4708
650000 6809
546000 8391
442000 17341
338000 26477
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 10220
2184000 546
2080000 4639
1976000 1340
1872000 498
1768000 1890
1664000 919
1560000 1539
1456000 524
1352000 2018
1248000 2722
1144000 912
1040000 2124
936000 2197
832000 4726
728000 4118
624000 4807
520000 43520
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 10220
2184000 546
2080000 4639
1976000 1340
1872000 498
1768000 1890
1664000 919
1560000 1539
1456000 524
1352000 2018
1248000 2722
1144000 912
1040000 2124
936000 2197
832000 4726
728000 4118
624000 4807
520000 43524
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 10220
2184000 546
2080000 4639
1976000 1340
1872000 498
1768000 1890
1664000 919
1560000 1539
1456000 524
1352000 2018
1248000 2722
1144000 912
1040000 2124
936000 2197
832000 4726
728000 4118
624000 4808
520000 43527
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 10220
2184000 546
2080000 4639
1976000 1340
1872000 498
1768000 1890
1664000 919
1560000 1539
1456000 524
1352000 2018
1248000 2722
1144000 912
1040000 2124
936000 2197
832000 4726
728000 4118
624000 4811
520000 43527
--------------------------------------
------------ FREQ TIME --------------------------
