----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 14348
1482000 2066
1378000 2221
1274000 2537
1170000 4365
1066000 4067
962000 6749
858000 9819
754000 11540
650000 14420
546000 14868
442000 23633
338000 31522
--------------------------------------
cpu 1 state 0
1586000 14348
1482000 2066
1378000 2221
1274000 2537
1170000 4365
1066000 4067
962000 6749
858000 9823
754000 11540
650000 14420
546000 14868
442000 23633
338000 31522
--------------------------------------
cpu 2 state 0
1586000 14348
1482000 2066
1378000 2221
1274000 2537
1170000 4365
1066000 4067
962000 6749
858000 9826
754000 11540
650000 14420
546000 14868
442000 23633
338000 31522
--------------------------------------
cpu 3 state 0
1586000 14348
1482000 2066
1378000 2221
1274000 2537
1170000 4365
1066000 4068
962000 6749
858000 9828
754000 11540
650000 14420
546000 14868
442000 23633
338000 31522
--------------------------------------
cpu 4 state 0
2600000 1256
2496000 0
2392000 10
2288000 16392
2184000 808
2080000 5098
1976000 2311
1872000 1050
1768000 3124
1664000 1669
1560000 2753
1456000 1306
1352000 3666
1248000 4699
1144000 2270
1040000 4504
936000 5246
832000 9039
728000 9259
624000 10241
520000 57466
--------------------------------------
cpu 5 state 0
2600000 1256
2496000 0
2392000 10
2288000 16392
2184000 808
2080000 5098
1976000 2311
1872000 1050
1768000 3124
1664000 1669
1560000 2753
1456000 1306
1352000 3666
1248000 4699
1144000 2270
1040000 4504
936000 5246
832000 9039
728000 9259
624000 10241
520000 57469
--------------------------------------
cpu 6 state 0
2600000 1256
2496000 0
2392000 10
2288000 16392
2184000 808
2080000 5098
1976000 2311
1872000 1050
1768000 3124
1664000 1669
1560000 2753
1456000 1306
1352000 3666
1248000 4699
1144000 2270
1040000 4504
936000 5246
832000 9039
728000 9259
624000 10241
520000 57472
--------------------------------------
cpu 7 state 0
2600000 1256
2496000 0
2392000 10
2288000 16392
2184000 808
2080000 5098
1976000 2311
1872000 1050
1768000 3124
1664000 1669
1560000 2753
1456000 1306
1352000 3666
1248000 4699
1144000 2270
1040000 4504
936000 5246
832000 9039
728000 9259
624000 10241
520000 57475
--------------------------------------
------------ FREQ TIME --------------------------
