----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 18332
1482000 3088
1378000 3373
1274000 4108
1170000 6190
1066000 6196
962000 9318
858000 12774
754000 14827
650000 17513
546000 18595
442000 27320
338000 35030
--------------------------------------
cpu 1 state 0
1586000 18332
1482000 3088
1378000 3373
1274000 4108
1170000 6193
1066000 6196
962000 9318
858000 12774
754000 14827
650000 17513
546000 18595
442000 27320
338000 35030
--------------------------------------
cpu 2 state 0
1586000 18332
1482000 3088
1378000 3373
1274000 4108
1170000 6196
1066000 6196
962000 9318
858000 12774
754000 14827
650000 17513
546000 18595
442000 27320
338000 35030
--------------------------------------
cpu 3 state 0
1586000 18332
1482000 3088
1378000 3373
1274000 4108
1170000 6196
1066000 6196
962000 9318
858000 12774
754000 14827
650000 17513
546000 18599
442000 27320
338000 35030
--------------------------------------
cpu 4 state 0
2600000 1256
2496000 0
2392000 10
2288000 20547
2184000 1108
2080000 5625
1976000 3063
1872000 1512
1768000 4177
1664000 2346
1560000 3645
1456000 2284
1352000 4913
1248000 6394
1144000 3368
1040000 5958
936000 6859
832000 11637
728000 12345
624000 13941
520000 65691
--------------------------------------
cpu 5 state 0
2600000 1256
2496000 0
2392000 10
2288000 20547
2184000 1108
2080000 5625
1976000 3063
1872000 1512
1768000 4177
1664000 2346
1560000 3645
1456000 2284
1352000 4913
1248000 6394
1144000 3368
1040000 5958
936000 6859
832000 11637
728000 12347
624000 13941
520000 65693
--------------------------------------
cpu 6 state 0
2600000 1256
2496000 0
2392000 10
2288000 20547
2184000 1108
2080000 5625
1976000 3063
1872000 1512
1768000 4177
1664000 2346
1560000 3645
1456000 2284
1352000 4913
1248000 6394
1144000 3368
1040000 5958
936000 6859
832000 11637
728000 12347
624000 13941
520000 65697
--------------------------------------
cpu 7 state 0
2600000 1256
2496000 0
2392000 10
2288000 20547
2184000 1108
2080000 5625
1976000 3063
1872000 1512
1768000 4177
1664000 2346
1560000 3645
1456000 2284
1352000 4913
1248000 6394
1144000 3368
1040000 5958
936000 6859
832000 11637
728000 12347
624000 13941
520000 65700
--------------------------------------
------------ FREQ TIME --------------------------
