----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 14589
1482000 2694
1378000 2533
1274000 2979
1170000 3886
1066000 4348
962000 6091
858000 8730
754000 10838
650000 14736
546000 15978
442000 25941
338000 49180
--------------------------------------
cpu 1 state 0
1586000 14589
1482000 2694
1378000 2533
1274000 2979
1170000 3886
1066000 4348
962000 6091
858000 8730
754000 10838
650000 14736
546000 15978
442000 25948
338000 49180
--------------------------------------
cpu 2 state 0
1586000 14589
1482000 2694
1378000 2533
1274000 2979
1170000 3886
1066000 4348
962000 6091
858000 8730
754000 10838
650000 14736
546000 15981
442000 25950
338000 49180
--------------------------------------
cpu 3 state 0
1586000 14589
1482000 2694
1378000 2533
1274000 2979
1170000 3886
1066000 4348
962000 6091
858000 8730
754000 10838
650000 14736
546000 15987
442000 25950
338000 49180
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 16358
2184000 873
2080000 5235
1976000 2626
1872000 1016
1768000 3488
1664000 1772
1560000 2976
1456000 1870
1352000 3643
1248000 4688
1144000 2571
1040000 5573
936000 5554
832000 10678
728000 10689
624000 10439
520000 72495
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 16358
2184000 873
2080000 5235
1976000 2626
1872000 1016
1768000 3488
1664000 1772
1560000 2976
1456000 1870
1352000 3643
1248000 4688
1144000 2571
1040000 5573
936000 5554
832000 10678
728000 10689
624000 10439
520000 72499
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 16358
2184000 873
2080000 5235
1976000 2626
1872000 1016
1768000 3488
1664000 1772
1560000 2976
1456000 1870
1352000 3643
1248000 4688
1144000 2571
1040000 5573
936000 5554
832000 10682
728000 10689
624000 10439
520000 72500
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 16358
2184000 873
2080000 5235
1976000 2626
1872000 1016
1768000 3488
1664000 1772
1560000 2976
1456000 1870
1352000 3643
1248000 4688
1144000 2571
1040000 5573
936000 5554
832000 10684
728000 10689
624000 10439
520000 72500
--------------------------------------
------------ FREQ TIME --------------------------
