----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 14176
1482000 2644
1378000 2373
1274000 2800
1170000 3634
1066000 4121
962000 5523
858000 7794
754000 9480
650000 13050
546000 14548
442000 24930
338000 48774
--------------------------------------
cpu 1 state 0
1586000 14179
1482000 2644
1378000 2373
1274000 2800
1170000 3634
1066000 4121
962000 5523
858000 7794
754000 9480
650000 13050
546000 14548
442000 24930
338000 48774
--------------------------------------
cpu 2 state 0
1586000 14182
1482000 2644
1378000 2373
1274000 2800
1170000 3634
1066000 4121
962000 5523
858000 7794
754000 9480
650000 13050
546000 14548
442000 24930
338000 48774
--------------------------------------
cpu 3 state 0
1586000 14184
1482000 2644
1378000 2373
1274000 2800
1170000 3634
1066000 4121
962000 5523
858000 7794
754000 9480
650000 13050
546000 14548
442000 24930
338000 48774
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 15552
2184000 823
2080000 5096
1976000 2437
1872000 873
1768000 3298
1664000 1480
1560000 2735
1456000 1768
1352000 3372
1248000 4347
1144000 2118
1040000 5058
936000 4748
832000 9805
728000 9583
624000 9393
520000 71370
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 15552
2184000 823
2080000 5096
1976000 2437
1872000 873
1768000 3298
1664000 1480
1560000 2735
1456000 1768
1352000 3372
1248000 4347
1144000 2118
1040000 5058
936000 4748
832000 9805
728000 9585
624000 9393
520000 71370
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 15552
2184000 823
2080000 5096
1976000 2437
1872000 873
1768000 3298
1664000 1480
1560000 2735
1456000 1768
1352000 3372
1248000 4347
1144000 2118
1040000 5058
936000 4748
832000 9805
728000 9586
624000 9393
520000 71372
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 15552
2184000 823
2080000 5096
1976000 2437
1872000 873
1768000 3298
1664000 1480
1560000 2735
1456000 1768
1352000 3372
1248000 4347
1144000 2118
1040000 5058
936000 4748
832000 9805
728000 9586
624000 9393
520000 71375
--------------------------------------
------------ FREQ TIME --------------------------
