----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 21308
1482000 4373
1378000 4517
1274000 5032
1170000 6914
1066000 11530
962000 10171
858000 13870
754000 16998
650000 22126
546000 23876
442000 37210
338000 129454
--------------------------------------
cpu 1 state 0
1586000 21308
1482000 4373
1378000 4517
1274000 5032
1170000 6914
1066000 11530
962000 10171
858000 13870
754000 16998
650000 22127
546000 23876
442000 37215
338000 129454
--------------------------------------
cpu 2 state 0
1586000 21308
1482000 4373
1378000 4517
1274000 5032
1170000 6914
1066000 11530
962000 10171
858000 13870
754000 16998
650000 22130
546000 23876
442000 37215
338000 129454
--------------------------------------
cpu 3 state 0
1586000 21308
1482000 4373
1378000 4517
1274000 5032
1170000 6914
1066000 11530
962000 10171
858000 13870
754000 16998
650000 22133
546000 23876
442000 37215
338000 129454
--------------------------------------
cpu 4 state 0
2600000 455
2496000 10
2392000 0
2288000 25497
2184000 1622
2080000 6067
1976000 4057
1872000 1863
1768000 5456
1664000 2903
1560000 4998
1456000 3231
1352000 6136
1248000 7602
1144000 4421
1040000 8391
936000 8828
832000 15682
728000 16865
624000 16782
520000 166527
--------------------------------------
cpu 5 state 0
2600000 455
2496000 10
2392000 0
2288000 25497
2184000 1622
2080000 6067
1976000 4057
1872000 1863
1768000 5456
1664000 2903
1560000 4998
1456000 3231
1352000 6136
1248000 7602
1144000 4421
1040000 8391
936000 8830
832000 15682
728000 16865
624000 16783
520000 166527
--------------------------------------
cpu 6 state 0
2600000 455
2496000 10
2392000 0
2288000 25497
2184000 1622
2080000 6067
1976000 4057
1872000 1863
1768000 5456
1664000 2903
1560000 4998
1456000 3231
1352000 6136
1248000 7602
1144000 4421
1040000 8391
936000 8832
832000 15682
728000 16865
624000 16783
520000 166527
--------------------------------------
cpu 7 state 0
2600000 455
2496000 10
2392000 0
2288000 25497
2184000 1622
2080000 6067
1976000 4057
1872000 1863
1768000 5456
1664000 2903
1560000 4998
1456000 3231
1352000 6136
1248000 7602
1144000 4421
1040000 8391
936000 8834
832000 15682
728000 16865
624000 16783
520000 166527
--------------------------------------
------------ FREQ TIME --------------------------
