----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 21102
1482000 4332
1378000 4487
1274000 4992
1170000 6807
1066000 11460
962000 10058
858000 13760
754000 16845
650000 21854
546000 23500
442000 36548
338000 128356
--------------------------------------
cpu 1 state 0
1586000 21102
1482000 4332
1378000 4487
1274000 4992
1170000 6809
1066000 11460
962000 10058
858000 13760
754000 16845
650000 21854
546000 23500
442000 36548
338000 128356
--------------------------------------
cpu 2 state 0
1586000 21102
1482000 4332
1378000 4487
1274000 4992
1170000 6812
1066000 11460
962000 10058
858000 13760
754000 16845
650000 21854
546000 23500
442000 36548
338000 128356
--------------------------------------
cpu 3 state 0
1586000 21102
1482000 4332
1378000 4487
1274000 4992
1170000 6814
1066000 11460
962000 10058
858000 13760
754000 16845
650000 21854
546000 23500
442000 36548
338000 128356
--------------------------------------
cpu 4 state 0
2600000 455
2496000 10
2392000 0
2288000 24731
2184000 1622
2080000 6067
1976000 3966
1872000 1833
1768000 5313
1664000 2873
1560000 4815
1456000 3221
1352000 6033
1248000 7407
1144000 4359
1040000 8225
936000 8698
832000 15333
728000 16670
624000 16660
520000 165819
--------------------------------------
cpu 5 state 0
2600000 455
2496000 10
2392000 0
2288000 24731
2184000 1622
2080000 6067
1976000 3966
1872000 1833
1768000 5313
1664000 2873
1560000 4815
1456000 3221
1352000 6033
1248000 7407
1144000 4359
1040000 8225
936000 8700
832000 15333
728000 16670
624000 16660
520000 165819
--------------------------------------
cpu 6 state 0
2600000 455
2496000 10
2392000 0
2288000 24731
2184000 1622
2080000 6067
1976000 3966
1872000 1833
1768000 5313
1664000 2873
1560000 4815
1456000 3221
1352000 6033
1248000 7407
1144000 4359
1040000 8225
936000 8701
832000 15333
728000 16670
624000 16660
520000 165821
--------------------------------------
cpu 7 state 0
2600000 455
2496000 10
2392000 0
2288000 24731
2184000 1622
2080000 6067
1976000 3966
1872000 1833
1768000 5313
1664000 2873
1560000 4815
1456000 3221
1352000 6033
1248000 7407
1144000 4359
1040000 8225
936000 8701
832000 15333
728000 16670
624000 16660
520000 165823
--------------------------------------
------------ FREQ TIME --------------------------
