----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 23359
1482000 4793
1378000 4962
1274000 5499
1170000 7573
1066000 12164
962000 10836
858000 14952
754000 18134
650000 23747
546000 25593
442000 43203
338000 209006
--------------------------------------
cpu 1 state 0
1586000 23359
1482000 4793
1378000 4962
1274000 5499
1170000 7573
1066000 12164
962000 10836
858000 14952
754000 18136
650000 23747
546000 25594
442000 43203
338000 209006
--------------------------------------
cpu 2 state 0
1586000 23359
1482000 4793
1378000 4962
1274000 5499
1170000 7573
1066000 12164
962000 10836
858000 14952
754000 18139
650000 23747
546000 25594
442000 43203
338000 209006
--------------------------------------
cpu 3 state 0
1586000 23359
1482000 4793
1378000 4962
1274000 5499
1170000 7573
1066000 12164
962000 10836
858000 14952
754000 18143
650000 23747
546000 25594
442000 43203
338000 209006
--------------------------------------
cpu 4 state 0
2600000 462
2496000 10
2392000 10
2288000 28723
2184000 1814
2080000 6238
1976000 4411
1872000 2079
1768000 6138
1664000 3170
1560000 5568
1456000 3466
1352000 6613
1248000 8622
1144000 4791
1040000 9252
936000 9581
832000 17044
728000 18679
624000 18057
520000 249104
--------------------------------------
cpu 5 state 0
2600000 462
2496000 10
2392000 10
2288000 28723
2184000 1814
2080000 6238
1976000 4411
1872000 2079
1768000 6138
1664000 3170
1560000 5568
1456000 3466
1352000 6613
1248000 8622
1144000 4791
1040000 9253
936000 9581
832000 17044
728000 18680
624000 18057
520000 249104
--------------------------------------
cpu 6 state 0
2600000 462
2496000 10
2392000 10
2288000 28723
2184000 1814
2080000 6238
1976000 4411
1872000 2079
1768000 6138
1664000 3170
1560000 5568
1456000 3466
1352000 6613
1248000 8622
1144000 4791
1040000 9256
936000 9581
832000 17044
728000 18680
624000 18057
520000 249104
--------------------------------------
cpu 7 state 0
2600000 462
2496000 10
2392000 10
2288000 28723
2184000 1814
2080000 6238
1976000 4411
1872000 2079
1768000 6138
1664000 3170
1560000 5568
1456000 3466
1352000 6613
1248000 8622
1144000 4791
1040000 9258
936000 9581
832000 17044
728000 18680
624000 18057
520000 249104
--------------------------------------
------------ FREQ TIME --------------------------
