----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 24286
1482000 5014
1378000 5112
1274000 5788
1170000 7834
1066000 12396
962000 11250
858000 15545
754000 18644
650000 24523
546000 26393
442000 44800
338000 214126
--------------------------------------
cpu 1 state 0
1586000 24286
1482000 5014
1378000 5112
1274000 5788
1170000 7834
1066000 12396
962000 11250
858000 15545
754000 18644
650000 24528
546000 26393
442000 44800
338000 214126
--------------------------------------
cpu 2 state 0
1586000 24286
1482000 5014
1378000 5112
1274000 5788
1170000 7834
1066000 12396
962000 11250
858000 15545
754000 18645
650000 24531
546000 26393
442000 44800
338000 214126
--------------------------------------
cpu 3 state 0
1586000 24286
1482000 5014
1378000 5112
1274000 5788
1170000 7834
1066000 12396
962000 11250
858000 15545
754000 18649
650000 24531
546000 26393
442000 44800
338000 214126
--------------------------------------
cpu 4 state 0
2600000 462
2496000 10
2392000 10
2288000 30008
2184000 1834
2080000 6308
1976000 4578
1872000 2149
1768000 6372
1664000 3271
1560000 5841
1456000 3568
1352000 6826
1248000 8931
1144000 4954
1040000 9652
936000 9815
832000 17738
728000 19435
624000 18688
520000 255277
--------------------------------------
cpu 5 state 0
2600000 462
2496000 10
2392000 10
2288000 30008
2184000 1834
2080000 6308
1976000 4578
1872000 2149
1768000 6372
1664000 3271
1560000 5841
1456000 3568
1352000 6826
1248000 8931
1144000 4954
1040000 9652
936000 9815
832000 17738
728000 19435
624000 18688
520000 255280
--------------------------------------
cpu 6 state 0
2600000 462
2496000 10
2392000 10
2288000 30008
2184000 1834
2080000 6308
1976000 4578
1872000 2149
1768000 6372
1664000 3271
1560000 5841
1456000 3568
1352000 6826
1248000 8931
1144000 4954
1040000 9652
936000 9815
832000 17740
728000 19435
624000 18688
520000 255281
--------------------------------------
cpu 7 state 0
2600000 462
2496000 10
2392000 10
2288000 30008
2184000 1834
2080000 6308
1976000 4578
1872000 2149
1768000 6372
1664000 3271
1560000 5841
1456000 3568
1352000 6826
1248000 8931
1144000 4954
1040000 9652
936000 9815
832000 17743
728000 19435
624000 18688
520000 255281
--------------------------------------
------------ FREQ TIME --------------------------
