----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 11876
1482000 1999
1378000 1728
1274000 2126
1170000 2624
1066000 2763
962000 3405
858000 4129
754000 4114
650000 5814
546000 5813
442000 13280
338000 40651
--------------------------------------
cpu 1 state 0
1586000 11876
1482000 1999
1378000 1728
1274000 2126
1170000 2624
1066000 2763
962000 3405
858000 4129
754000 4114
650000 5814
546000 5813
442000 13283
338000 40651
--------------------------------------
cpu 2 state 0
1586000 11876
1482000 1999
1378000 1728
1274000 2126
1170000 2624
1066000 2763
962000 3405
858000 4129
754000 4114
650000 5814
546000 5813
442000 13287
338000 40651
--------------------------------------
cpu 3 state 0
1586000 11876
1482000 1999
1378000 1728
1274000 2126
1170000 2624
1066000 2763
962000 3405
858000 4129
754000 4114
650000 5814
546000 5813
442000 13290
338000 40652
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 11015
2184000 552
2080000 4765
1976000 1458
1872000 570
1768000 2235
1664000 883
1560000 1591
1456000 1095
1352000 2042
1248000 2742
1144000 1200
1040000 2991
936000 2552
832000 6262
728000 5409
624000 4818
520000 48155
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 11015
2184000 552
2080000 4765
1976000 1458
1872000 570
1768000 2235
1664000 883
1560000 1591
1456000 1095
1352000 2042
1248000 2742
1144000 1200
1040000 2991
936000 2552
832000 6262
728000 5412
624000 4818
520000 48155
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 11015
2184000 552
2080000 4765
1976000 1458
1872000 570
1768000 2235
1664000 883
1560000 1591
1456000 1095
1352000 2042
1248000 2742
1144000 1200
1040000 2991
936000 2552
832000 6262
728000 5416
624000 4818
520000 48155
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 11015
2184000 552
2080000 4765
1976000 1458
1872000 570
1768000 2235
1664000 883
1560000 1591
1456000 1095
1352000 2042
1248000 2742
1144000 1200
1040000 2991
936000 2552
832000 6262
728000 5418
624000 4818
520000 48159
--------------------------------------
------------ FREQ TIME --------------------------
