----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 12810
1482000 2303
1378000 2002
1274000 2377
1170000 3115
1066000 3328
962000 4287
858000 5552
754000 6072
650000 9312
546000 10819
442000 22336
338000 46773
--------------------------------------
cpu 1 state 0
1586000 12810
1482000 2303
1378000 2002
1274000 2377
1170000 3115
1066000 3328
962000 4287
858000 5552
754000 6072
650000 9312
546000 10823
442000 22336
338000 46773
--------------------------------------
cpu 2 state 0
1586000 12810
1482000 2303
1378000 2002
1274000 2377
1170000 3115
1066000 3328
962000 4287
858000 5552
754000 6072
650000 9312
546000 10824
442000 22336
338000 46776
--------------------------------------
cpu 3 state 0
1586000 12810
1482000 2303
1378000 2002
1274000 2377
1170000 3115
1066000 3328
962000 4287
858000 5552
754000 6072
650000 9312
546000 10824
442000 22336
338000 46778
--------------------------------------
cpu 4 state 0
2600000 0
2496000 0
2392000 0
2288000 12874
2184000 712
2080000 4917
1976000 1823
1872000 650
1768000 2752
1664000 1094
1560000 2023
1456000 1308
1352000 2509
1248000 3410
1144000 1401
1040000 3652
936000 3050
832000 7626
728000 7001
624000 6732
520000 67564
--------------------------------------
cpu 5 state 0
2600000 0
2496000 0
2392000 0
2288000 12874
2184000 712
2080000 4917
1976000 1823
1872000 650
1768000 2752
1664000 1094
1560000 2023
1456000 1308
1352000 2509
1248000 3410
1144000 1401
1040000 3652
936000 3050
832000 7629
728000 7001
624000 6732
520000 67564
--------------------------------------
cpu 6 state 0
2600000 0
2496000 0
2392000 0
2288000 12874
2184000 712
2080000 4917
1976000 1823
1872000 650
1768000 2752
1664000 1094
1560000 2023
1456000 1308
1352000 2509
1248000 3410
1144000 1401
1040000 3653
936000 3050
832000 7631
728000 7001
624000 6732
520000 67564
--------------------------------------
cpu 7 state 0
2600000 0
2496000 0
2392000 0
2288000 12874
2184000 712
2080000 4917
1976000 1823
1872000 650
1768000 2752
1664000 1094
1560000 2023
1456000 1308
1352000 2509
1248000 3410
1144000 1401
1040000 3655
936000 3050
832000 7631
728000 7001
624000 6732
520000 67564
--------------------------------------
------------ FREQ TIME --------------------------
