----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 17792
1482000 3427
1378000 3326
1274000 3967
1170000 5173
1066000 6005
962000 8034
858000 11237
754000 14164
650000 18421
546000 19748
442000 29427
338000 52601
--------------------------------------
cpu 1 state 0
1586000 17792
1482000 3427
1378000 3326
1274000 3967
1170000 5173
1066000 6005
962000 8034
858000 11237
754000 14164
650000 18421
546000 19748
442000 29433
338000 52601
--------------------------------------
cpu 2 state 0
1586000 17792
1482000 3427
1378000 3326
1274000 3967
1170000 5173
1066000 6005
962000 8034
858000 11237
754000 14164
650000 18421
546000 19748
442000 29440
338000 52601
--------------------------------------
cpu 3 state 0
1586000 17792
1482000 3427
1378000 3326
1274000 3967
1170000 5173
1066000 6005
962000 8034
858000 11237
754000 14164
650000 18421
546000 19752
442000 29440
338000 52601
--------------------------------------
cpu 4 state 0
2600000 455
2496000 0
2392000 0
2288000 20265
2184000 1212
2080000 5595
1976000 3314
1872000 1449
1768000 4376
1664000 2305
1560000 3902
1456000 2571
1352000 4817
1248000 6030
1144000 3605
1040000 6739
936000 7240
832000 13002
728000 13306
624000 13572
520000 79585
--------------------------------------
cpu 5 state 0
2600000 455
2496000 0
2392000 0
2288000 20265
2184000 1212
2080000 5595
1976000 3314
1872000 1449
1768000 4376
1664000 2305
1560000 3902
1456000 2571
1352000 4817
1248000 6030
1144000 3605
1040000 6739
936000 7240
832000 13007
728000 13306
624000 13572
520000 79585
--------------------------------------
cpu 6 state 0
2600000 455
2496000 0
2392000 0
2288000 20265
2184000 1212
2080000 5595
1976000 3314
1872000 1449
1768000 4376
1664000 2305
1560000 3902
1456000 2571
1352000 4817
1248000 6030
1144000 3605
1040000 6739
936000 7240
832000 13009
728000 13306
624000 13572
520000 79587
--------------------------------------
cpu 7 state 0
2600000 455
2496000 0
2392000 0
2288000 20265
2184000 1212
2080000 5595
1976000 3314
1872000 1449
1768000 4376
1664000 2305
1560000 3902
1456000 2571
1352000 4817
1248000 6030
1144000 3605
1040000 6739
936000 7240
832000 13009
728000 13306
624000 13572
520000 79591
--------------------------------------
------------ FREQ TIME --------------------------
