----------- FREQ TIME---------------------------
cpu 0 state 0
1586000 17991
1482000 3518
1378000 3376
1274000 4006
1170000 5254
1066000 6075
962000 8168
858000 11370
754000 14345
650000 18595
546000 20021
442000 29722
338000 52947
--------------------------------------
cpu 1 state 0
1586000 17991
1482000 3518
1378000 3376
1274000 4006
1170000 5254
1066000 6075
962000 8172
858000 11370
754000 14345
650000 18595
546000 20021
442000 29722
338000 52947
--------------------------------------
cpu 2 state 0
1586000 17991
1482000 3518
1378000 3376
1274000 4006
1170000 5254
1066000 6075
962000 8175
858000 11370
754000 14345
650000 18595
546000 20021
442000 29722
338000 52947
--------------------------------------
cpu 3 state 0
1586000 17991
1482000 3518
1378000 3376
1274000 4006
1170000 5257
1066000 6075
962000 8175
858000 11370
754000 14345
650000 18595
546000 20021
442000 29722
338000 52947
--------------------------------------
cpu 4 state 0
2600000 455
2496000 0
2392000 0
2288000 20612
2184000 1241
2080000 5626
1976000 3344
1872000 1459
1768000 4437
1664000 2316
1560000 3953
1456000 2591
1352000 4899
1248000 6144
1144000 3645
1040000 6809
936000 7320
832000 13235
728000 13418
624000 13673
520000 80223
--------------------------------------
cpu 5 state 0
2600000 455
2496000 0
2392000 0
2288000 20612
2184000 1241
2080000 5626
1976000 3344
1872000 1459
1768000 4437
1664000 2316
1560000 3953
1456000 2591
1352000 4899
1248000 6144
1144000 3645
1040000 6809
936000 7320
832000 13238
728000 13418
624000 13673
520000 80223
--------------------------------------
cpu 6 state 0
2600000 455
2496000 0
2392000 0
2288000 20612
2184000 1241
2080000 5626
1976000 3344
1872000 1459
1768000 4437
1664000 2316
1560000 3953
1456000 2591
1352000 4899
1248000 6144
1144000 3645
1040000 6809
936000 7320
832000 13240
728000 13418
624000 13673
520000 80223
--------------------------------------
cpu 7 state 0
2600000 455
2496000 0
2392000 0
2288000 20612
2184000 1241
2080000 5626
1976000 3344
1872000 1459
1768000 4437
1664000 2316
1560000 3953
1456000 2591
1352000 4899
1248000 6144
1144000 3645
1040000 6809
936000 7320
832000 13242
728000 13418
624000 13673
520000 80224
--------------------------------------
------------ FREQ TIME --------------------------
